11117	5729	
2933	6675	
8691	6761	
12613	4251	
6035	832	
1890	7903	
1878	10060	
13820	2149	
12848	3675	
7017	7346	
4305	34	
11137	929	
8797	4480	
12481	2982	
1096	2399	
7475	7931	
5646	8082	
10268	8590	
7532	10806	
12105	345	
3185	4939	
2062	1915	
10249	8704	
6134	5210	
9352	6728	
2015	6164	
1996	7313	
5964	6024	
11208	10830	
8373	7119	
1847	4988	
3627	6832	
7505	5023	
3744	2268	
14263	7858	
6743	8698	
3993	640	
11922	8119	
11050	4304	
3057	3337	
7421	6167	
2150	10281	
12733	8257	
7057	9916	
6553	1843	
7087	6885	
5698	5670	
5531	8448	
955	1321	
6397	998	
701	4954	
6399	7750	
12522	8780	
14929	9344	
12562	368	
9364	6564	
8844	2096	
6340	6642	
11710	3675	
458	10235	
7066	9027	
1804	6413	
6979	4512	
6559	3725	
9511	1656	
11398	5801	
3911	9642	
7252	6374	
9668	8822	
6855	7624	
8625	1098	
13901	9160	
7521	1698	
12022	5125	
14238	10437	
9448	8556	
1680	4518	
12126	2579	
5417	10155	
5211	5675	
3246	7236	
8264	4082	
535	7601	
541	2679	
14798	9537	
11	3770	
12550	10255	
6871	4192	
12680	7843	
4694	528	
11573	4432	
14538	5880	
7293	2184	
3776	7036	
12870	3708	
4797	3282	
11329	3721	
1334	10958	
9312	4971	
5380	2362	
14189	2576	
6892	977	
9319	1280	
2919	2916	
4759	4394	
3539	245	
6209	5338	
12748	3649	
6868	6084	
796	3956	
7494	7774	
11927	6596	
8957	3591	
6980	2140	
13590	3594	
12535	6625	
2423	5098	
13060	5424	
9770	4979	
3160	2437	
1951	1796	
7206	4746	
8681	2900	
3445	8323	
9710	3634	
1688	354	
13620	6061	
12166	9411	
11490	3254	
6183	4347	
5547	10612	
7362	7721	
14521	4202	
1007	7785	
3144	9173	
10469	2202	
6529	4987	
8214	3586	
1762	3468	
7980	10248	
13588	6800	
1495	4199	
14946	6839	
4501	877	
37	9568	
4220	6417	
1880	6489	
6235	6425	
8149	4052	
14164	2657	
11622	5840	
10758	6164	
10700	8589	
9077	6516	
14222	9557	
4330	5682	
996	4221	
14319	9298	
8458	10227	
11006	302	
11697	10137	
10799	5078	
13747	1955	
14514	7652	
11004	7374	
391	10466	
4612	2023	
12450	298	
9366	238	
8928	5176	
13447	8351	
9639	8077	
292	5359	
12410	2141	
7241	6685	
14733	4923	
13301	2020	
7774	9584	
6607	10259	
8087	1471	
14747	9878	
6707	9233	
