6388	7359	
8970	9489	
10316	8688	
6596	10005	
5215	8771	
4896	10091	
10987	8992	
7686	3661	
1725	6342	
305	8149	
4864	5082	
6955	1103	
4035	8091	
6644	6992	
2555	883	
1355	7911	
5513	5603	
4614	8319	
3452	6318	
8895	4327	
8262	6229	
320	8332	
9015	7696	
1059	7847	
9156	9428	
7437	2114	
5344	7134	
10686	6176	
8206	1865	
4721	10056	
2596	8772	
7654	5150	
3113	4087	
2407	8661	
3364	10311	
217	4374	
1293	1793	
7213	8493	
2706	6958	
8635	4656	
7968	2850	
9931	6458	
10398	6253	
8420	9037	
5693	9528	
9146	9634	
7129	5890	
3835	6545	
10953	2155	
9778	646	
6877	5879	
4790	8635	
10410	10634	
844	10405	
10709	655	
10418	3314	
8680	7323	
2330	9184	
5982	2555	
3044	10866	
10053	4093	
10355	2218	
9281	6777	
5782	10692	
2296	10440	
589	1979	
6098	680	
10599	9895	
9512	3749	
6321	10661	
2045	9545	
8683	4718	
6088	10804	
3780	7555	
1522	1395	
8830	10506	
8345	3921	
921	4876	
10909	10651	
10118	8220	
39	8307	
2611	10077	
4236	6247	
2860	34	
5229	3736	
8937	6233	
10083	5556	
252	8598	
8144	7570	
5630	3356	
6359	10010	
5933	1902	
2134	3963	
5793	8280	
8233	2748	
2496	540	
3496	4335	
8048	4417	
478	9412	
1317	5045	
3463	9088	
276	8746	
1977	372	
5678	788	
9213	7564	
483	7102	
1752	6215	
471	9779	
4574	4936	
10318	7837	
5860	397	
1786	4969	
8399	1187	
8305	6354	
5280	2141	
808	2182	
2530	7741	
3186	2303	
3664	6358	
4169	7498	
6927	5238	
959	8304	
7662	9634	
3826	1859	
847	8652	
5872	2237	
444	3661	
8342	6844	
8554	4119	
8462	7409	
62	4443	
568	9904	
1691	6158	
9832	2619	
10241	290	
5933	3849	
5651	4912	
5266	3086	
6037	17	
9264	2128	
653	8747	
8966	578	
4192	6975	
5327	10221	
3161	7358	
9338	7822	
5655	1367	
3697	6269	
3716	5970	
729	6906	
9330	1446	
3875	2064	
9431	8260	
7039	2375	
5963	4099	
5711	545	
6531	373	
1689	1309	
4122	10404	
10220	1241	
6022	5203	
4459	160	
6259	4191	
5915	8674	
9076	4514	
7092	8095	
10727	7725	
5060	7554	
1109	241	
10512	10770	
9320	493	
3382	3534	
8230	2886	
5811	1747	
3842	1259	
2916	840	
8044	6952	
8432	6856	
6795	5907	
6848	4052	
7248	1898	
264	1463	
2452	803	
7974	5493	
688	10678	
9880	4446	
7853	1055	
6345	1034	
5551	9089	
7375	7584	
5491	8365	
2137	3724	
6765	1745	
1205	1188	
9139	3693	
5315	6091	
571	5556	
2687	8512	
9462	2059	
3675	5819	
7780	5742	
7427	757	
1324	5727	
8815	3052	
923	721	
1749	356	
5550	406	
8324	2287	
9852	10405	
7583	10700	
9530	4559	
3509	9554	
5418	1291	
1734	8325	
5713	6116	
1059	10483	
2612	756	
8610	153	
3945	2276	
4402	7734	
7249	4026	
7093	3907	
4743	815	
5943	2404	
6613	1828	
10347	4160	
9038	10427	
2220	5175	
7142	7171	
9412	8065	
4132	7401	
10896	3916	
9341	685	
8385	4370	
5456	2766	
6763	9456	
5676	3434	
5113	6730	
3205	4487	
9608	1836	
5014	5931	
7429	8924	
9118	7052	
546	8267	
3677	6345	
1922	4670	
7425	8164	
4691	6552	
4943	10138	
2449	2007	
7607	9199	
9277	7960	
8847	927	
1598	7510	
9739	8963	
2852	8475	
