Schedule.flno  Schedule.aid  Aircrafts.aid  Aircrafts.aname  Aircrafts.cruisingrange  
11529	10869	10869	auqbxirfhk	2201	
3608	10511	10511	inviqsepfr	8388	
6600	4395	4395	cvpklswyda	3089	
2682	9538	9538	jrqmypkfkr	9154	
997	3005	3005	ercfwuliui	2684	
3852	815	815	qygbtiekul	1251	
12257	9049	9049	iwhuikamso	5045	
4155	3041	3041	nfpcziecnj	5683	
5465	7340	7340	ijezeehcar	2505	
4156	8693	8693	rfjngswwvm	2086	
580	1176	1176	wketibgsxr	2451	
1610	6379	6379	kapzmbagtk	1047	
12843	10409	10409	pmlhklmgda	6647	
7243	2126	2126	ttgeohcylu	3255	
3437	5127	5127	uzwjmfgokn	6577	
10338	3032	3032	rlgwyajdwz	4358	
6858	5917	5917	aboqicckoj	8917	
8851	8507	8507	rvytaernlv	6018	
4319	9607	9607	dqwxsyipfh	8797	
1755	7600	7600	iftimihpai	3384	
3985	9643	9643	bktgmokrpn	2923	
8257	8942	8942	qmelrnbafv	1289	
610	143	143	egwnopeeof	4472	
8980	8012	8012	dgeqajpjpb	9682	
2801	6719	6719	lvyidkrqyr	3306	
1862	3075	3075	jrgaegazmz	4552	
8949	6038	6038	qungglhlky	5949	
6302	9028	9028	swwkrfdfdp	3015	
11660	651	651	aygazawddo	4018	
11541	8690	8690	nlfndjtfvq	6248	
8323	571	571	fmfzsfjnbp	3965	
512	9707	9707	hwslngsrch	6196	
9248	3442	3442	albifkoopd	2094	
3575	3325	3325	lmltaonfol	2142	
3746	3515	3515	uijzxobdjm	3191	
5062	2335	2335	dspxbhiaxs	107	
820	6779	6779	tsjaedjlxg	1979	
8871	3732	3732	tquxlurryp	2900	
6574	9776	9776	tcshvefyvd	6739	
734	9677	9677	yvhslwmwjg	4572	
7413	2268	2268	cdixiuicfk	9009	
1147	2501	2501	yrfugrugkk	1770	
774	3783	3783	wbwywxetop	4951	
11730	1364	1364	vgoucfulpu	3790	
6441	3442	3442	albifkoopd	2094	
12162	209	209	bfeymaunxx	3745	
2709	9677	9677	yvhslwmwjg	4572	
11346	9607	9607	dqwxsyipfh	8797	
2295	4928	4928	mzdqxccydm	3079	
6620	143	143	egwnopeeof	4472	
12207	571	571	fmfzsfjnbp	3965	
7503	2506	2506	oevicjtjpq	9773	
8509	8121	8121	uabmqdimrp	5603	
956	7965	7965	nmeiziuzhe	7663	
5283	9028	9028	swwkrfdfdp	3015	
142	9538	9538	jrqmypkfkr	9154	
7	579	579	nfxxyydtbk	2836	
5023	143	143	egwnopeeof	4472	
205	1364	1364	vgoucfulpu	3790	
6825	2003	2003	aqvkmaukht	1066	
12495	3515	3515	uijzxobdjm	3191	
12794	1339	1339	ixlfbayfju	7660	
